espn_id,name,team,position,points
12482,Mark Sanchez,FA,QB,0.0
12503,Rashad Jennings,NYG,RB,0.0
12506,David Johnson,PIT,TE,0.0
12519,Cedric Peerman,CIN,RB,0.0
12536,Chase Coffman,IND,TE,0.0
12550,John Phillips,NO,TE,0.0
12569,Percy Harvin,BUF,WR,0.0
12579,Jeremy Maclin,FA,WR,0.0
12585,Louis Murphy,SF,WR,0.0
12587,Jordan Norwood,DEN,WR,0.0
12597,Brandon Tate,BUF,WR,0.0
12699,Zach Miller,CHI,TE,0.0
12705,Brandon Myers,TB,TE,0.0
13158,Antone Smith,TB,RB,0.0
13203,C.J. Spiller,KC,RB,0.0
13204,Ryan Mathews,PHI,RB,0.0
13207,Dexter McCluster,LAC,RB,0.0
13214,James Starks,GB,RB,0.0
13215,Dez Bryant,FA,WR,0.0
13218,Arrelious Benn,JAX,WR,0.0
13231,Dennis Pitta,BAL,TE,0.0
13271,Eric Decker,FA,WR,0.0
13357,Jim Dray,ARI,TE,0.0
13376,Clay Harbor,NO,TE,0.0
13409,Marc Mariani,TEN,WR,0.0
13440,Andrew Quarless,DET,TE,0.0
13484,Joe Webb,HOU,QB,0.0
13536,Joique Bell,DET,RB,0.0
13553,Victor Cruz,CHI,WR,0.0
